id,gender,age,educstat,educstatgroup,birthreg,growup,birthpatreg,educstatpat,edustatpatgroup,educstatmat,educstatmatgroup,workstat,retireddummy,hhsize,hhsizegroup,lifestyle,voteintparty2,voteintparty,turnout,voteintakp,voteintchp,voteintmhp,voteintbdp,voteintRL,voteint4major,voteint4major2,affiliat,affliatngo,affiliatparty,affiliatchamb,minrights,warenem,usearm,politban,instbest,tradlifeforce,freedomseparat,patrcitizen,lifestylecompare,interethmarriage,minschool,turkeyleader,badhabits,privresp,alcoholsalat,obstructtransport,leaderjeernew,leaderjeer,preg,intermarry,polapol,libcons,leftright,authanti,secularanti,outin,pacmil,egalelit,nationalist,globloc,europas,headcover,ethnicity,ethnicdummy,religion,religdummy,religiosity,hhincome,loghhincome,region,resarea,resarearural,incomebrac,gini2011pers,gini2012pers,gini2013pers,gini2014pers,gini2011hh,gini2012hh,gini2013hh,gini2014hh,sedi,factor1,factor2,factor3,factor4,socialorder,useofforce,p1,p2,p3,p4,p5
6,Male,36,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Literate w/out degree,Under high school,"Unemployed, seeking job",Working,4,3-5 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Neither right nor wrong,Right,Wrong,Neither right nor wrong,Absolutely right,Absolutely right,Absolutely Wrong,Absolutely Wrong,Absolutely Wrong,Absolutely right,Absolutely right,Absolutely right,Right,Neither right nor wrong,Absolutely Right,Absolutely right,Wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,350,5.857933,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.52047229,1.3839135,.19201694,.78834069,53.938942,68.30011,.66385007,.052894641,.22261629,.013936642,.04670237
7,Male,34,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Primary school graduate,Under high school,"Farmer, agriculturalist, stock breeder",Working,9,9+ persons,Traditional conservative,MHP,MHP,Voter,No,No,Yes,No,Center-Right,MHP,MHP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Absolutely right,Wrong,Right,Right,Right,Wrong,Absolutely Wrong,Absolutely Wrong,Absolutely right,Neither right nor wrong,Right,Wrong,Right,Right,Right,Neither right nor wrong,Right,Apolitical - Describes me very well,Conservative - Describes me well,,,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1000,6.9077554,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,2.1378665,-.24101953,-.74257565,2.2648246,36.705414,92.255615,.32012427,.060338046,.58718598,.0017036111,.030648123
8,Male,24,High school graduate,High school,Central ANatolia,Rural,Central ANatolia,High school graduate,High school,Primary school graduate,Under high school,Worker,Working,5,3-5 persons,Traditional conservative,,,,,,,,,,,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Right,Right,Right,Neither right nor wrong,Wrong,Wrong,Absolutely right,Right,Right,Neither right nor wrong,Right,Right,Right,Neither right nor wrong,Right,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me very well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me very well,Asian - Describes me very well,Bachelor man,Turkish,Non-Kurdish,Sunni Muslim,Others,Pious,,,Central Anatolia,Rural,Rural,,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.74191183,.92227906,.4121291,.83844274,57.997726,69.112999,,,,,
9,Male,67,Illiterate,Under high school,Central ANatolia,Rural,Central ANatolia,Literate w/out degree,Under high school,Illiterate,Under high school,"Farmer, agriculturalist, stock breeder",Working,10,9+ persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Neither right nor wrong,Wrong,Wrong,Wrong,Right,Neither right nor wrong,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me well,No opinion,Authoritarian - Describes me well,No opinion,No opinion,Pacifist - Describes me well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1000,6.9077554,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.99422032,.060959507,.10390244,.95989317,52.314144,71.083496,.62156761,.12266283,.18598819,.006341191,.063440166
10,Male,32,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Illiterate,Under high school,Illiterate,Under high school,"Unemployed, seeking job",Working,5,3-5 persons,Religious conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Neither right nor wrong,Wrong,Absolutely right,Right,Right,Neither right nor wrong,Right,Right,Right,Right,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me very well,Secular - Describes me well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,550,6.3099184,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.74191183,.92227906,.15739469,.89936179,53.300522,70.101395,.61872339,.054180723,.27127269,.0091171889,.046706021
11,Male,36,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Primary school graduate,Under high school,Worker,Working,6,6-8 persons,Religious conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Right,Wrong,Absolutely right,Right,Right,Wrong,Wrong,Wrong,Absolutely right,Neither right nor wrong,Absolutely right,Right,Right,Right,Right,Neither right nor wrong,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me very well,Secular - Describes me very well,Outward looking - Describes me very well,Pacifist - Describes me very well,Egalitarian - Describes me very well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,847,6.7417006,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,1.7855668,.80150974,-.0074631497,1.95733,50.260605,87.266602,.50327051,.045071833,.41842711,.0022612894,.030969271
12,Male,42,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,"Unemployed, seeking job",Working,5,3-5 persons,Religious conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Absolutely right,Wrong,Absolutely right,Absolutely right,Absolutely right,Wrong,Absolutely Wrong,Absolutely Wrong,Absolutely right,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Secular - Describes me very well,Outward looking - Describes me well,Pacifist - Describes me very well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1000,6.9077554,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,2.4565954,-.60333288,-.9856962,2.5510066,32.222363,96.898827,.28155532,.071615025,.61593926,.0013630735,.029527294
13,Male,41,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,"Unemployed, seeking job",Working,5,3-5 persons,Traditional conservative,AKP,AKP,Voter,Yes,No,No,No,Center-Right,AKP,AKP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Wrong,Wrong,Absolutely right,Neither right nor wrong,Right,Neither right nor wrong,Right,Right,Right,Right,Neither right nor wrong,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me very well,Secular - Describes me very well,Outward looking - Describes me well,Pacifist - Describes me well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me well,Asian - Describes me well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,847,6.7417006,Central Anatolia,Rural,Rural,Lower class,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.86806607,.49161929,-.12408585,.99054652,48.110126,71.580833,.54979777,.086123608,.30040532,.0071438528,.056529459
14,Male,19,,,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Illiterate,Under high school,Small retailer,Working,5,3-5 persons,Traditional conservative,MHP,MHP,Voter,No,No,Yes,No,Center-Right,MHP,MHP,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Absolutely Wrong,Absolutely Wrong,Absolutely right,Neither right nor wrong,Absolutely right,Neither right nor wrong,Right,Neither Right Nor Wrong,Neither right nor wrong,Right,Right,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me very well,Authoritarian - Describes me very well,Secular - Describes me very well,Outward looking - Describes me well,Pacifist - Describes me very well,Egalitarian - Describes me well,Nationalist - Describes me well,Local - Describes me very well,Asian - Describes me very well,Bachelor man,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,1500,7.3132205,Central Anatolia,Rural,Rural,New middle,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,.86806607,.49161929,-.12408585,.99054652,48.110126,71.580833,,,,,
15,Male,30,Primary school graduate,Under high school,Central ANatolia,Rural,Central ANatolia,Primary school graduate,Under high school,Primary school graduate,Under high school,Worker,Working,6,6-8 persons,Religious conservative,,Non-voter,Non-voter,No,No,No,No,Non-voter,Non-voter,,Not Affiliated,Not Affiliated,Not Affiliated,Not Affiliated,Absolutely right,Absolutely right,Absolutely right,Absolutely right,Wrong,Absolutely right,Absolutely right,Neither right nor wrong,Wrong,Absolutely Wrong,Absolutely Wrong,Absolutely right,Neither right nor wrong,Absolutely right,Neither right nor wrong,Right,Right,Right,Right,Right,Apolitical - Describes me very well,Conservative - Describes me very well,Right-winger - Describes me well,Authoritarian - Describes me well,Anti-secular - Describes me well,Self-enclosed - Describes me very well,Militarist - Describes me well,Elitist - Describes me very well,Nationalist - Describes me very well,Local - Describes me very well,Asian - Describes me very well,Head scarf,Turkish,Non-Kurdish,Sunni Muslim,Others,Religious,3000,8.0063677,Central Anatolia,Rural,Rural,New middle,.366,.36000001,.34200001,.35499999,.36300001,.361,.34299999,.36500001,1.7397,2.2137775,.25303727,-.41080832,2.3649292,42.823074,93.879768,.29412875,.050868776,.62735528,.00056705117,.027080161
